Area,hy,year,effort1,effort2,effort3,eff_catch,aar,ton,cpue
1,1,1982,2265,7942.417706,0,93062,1982,394719.1715,49.69760923
1,1,1983,3293.5,6926.106098,0,145289.27,1983,314744.4006,45.44319652
1,1,1984,4563.5,7909.912218,0,231834.15,1984,419639.7605,53.0523916
1,1,1985,6965.5,8448.550449,0,303280.05,1985,377702.1885,44.70615294
1,1,1986,5344.5,6567.630867,0,296652.65,1986,346053.0279,52.69069394
1,1,1987,3347,4287.180374,0,262288.7,1987,307193.6418,71.6540045
1,1,1988,6458,7171.613065,0,377371.05,1988,395185.6315,55.10414853
1,1,1989,7374,8240.423092,0,399595.72,1989,435721.375,52.87609266
1,1,1990,7321,8008.43823,0,278070.05,1990,285320.9257,35.62753654
1,1,1991,4378,4588.027876,0,263605.7,1991,257591.0461,56.14417633
1,1,1992,7402.5,7925.867028,0,498708.68,1992,521574.8592,65.80666283
1,1,1993,3262.5,3495.577444,0,127507.725,1993,129403.3916,37.01917455
1,1,1994,2662.5,2851.589714,0,176535.75,1994,177684.5016,62.31068263
1,1,1995,4651,5297.884869,0,368658,1995,365681.1084,69.02398174
1,1,1996,3762.5,4805.354787,0,233302.5,1996,257506.8941,53.58748844
1,1,1997,3283,3997.007218,0,334224,1997,345198.9252,86.36434872
1,1,1998,4835.5,6011.454934,0,332140.849,1998,352274.9426,58.60061275
1,1,1999,5615,7875.236081,0,343988,1999,395812.5692,50.26040681
1,1,2000,4460.5,6181.410199,0,299922.45,2000,333044.2302,53.87835776
1,1,2001,5683,8041.460703,0,320083.6,2001,368781.8835,45.86006164
1,1,2002,5472,7942.040275,0,520076.3,2002,604584.2776,76.12455447
1,1,2003,3995.5,5906.903313,0,130125.1,2003,155005.9706,26.24149446
1,1,2004,3772,6600.925852,0,147200,2004,199482.8261,30.22043129
1,1,2005,2368,3287.919486,0,115233.003,2005,121795.4638,37.04332309
1,1,2006,2727,3981.645708,0,210502.5,2006,241344.6409,60.61429334
1,1,2007,1000,1560.14613,0,97812,2007,110389.1307,70.75563541
1,1,2008,1721,2793.239043,0,207350,2008,232248.5205,83.14666843
1,1,2009,1977.5,3376.856531,0,243746.1,2009,293528.9441,86.92372371
1,1,2010,1386.5,2724.588561,0,223807.75,2010,293359.3302,107.671057
1,1,2011,1740.5,3069.797802,0,269021.756,2011,316350.7231,103.0526255
1,1,2012,347,585.3456272,0,38640.903,2012,45946.29908,78.49430652
1,1,2013,1855.5,3703.807498,0,167407.893,2013,207885.5305,56.12752028
1,1,2014,1167.666667,2130.206474,0,79470.2,2014,92393.34147,43.37295122
1,1,2015,1071.5,2046.254019,0,138050.095,2015,160763.1133,78.56459259
1,1,2016,73,146.3235642,0,12205.6,2016,15406.57995,105.2911746
1,1,2017,1042,2761.664107,0,210996.51,2017,239741.9293,86.81067649
1,1,2018,1132.5,2942.215933,0,108111.841,2018,126182.1833,42.88678541
1,2,1982,113,937.6728971,0,4270,1982,39681.43194,42.31905611
1,2,1983,490.5,2065.855272,0,15497.35,1983,67884.52722,32.86025316
1,2,1984,832,2256.465609,0,28369.1,1984,79030.93926,35.02421617
1,2,1985,2016,2427.253809,0,65742.51,1985,82354.84832,33.92922817
1,2,1986,725.5,804.4242264,0,34728.05,1986,36790.94472,45.73574927
1,2,1987,1115.5,1393.297092,0,56773.5,1987,65827.52182,47.24586176
1,2,1988,975.5,808.8664057,0,34999.335,1988,27619.18514,34.14554609
1,2,1989,666,312.7090148,0,21872.1,1989,10407.33685,33.28121785
1,2,1990,1149,520.3170055,0,47730.9,1990,20980.9151,40.3233315
1,2,1991,2054,1403.15937,0,108237.15,1991,74613.02548,53.17501852
1,2,1992,1272.5,878.8997535,0,54329.75,1992,37027.46089,42.12933357
1,2,1993,963.5,397.5735067,0,35259.95,1993,14985.62399,37.69271277
1,2,1994,873,297.1750263,0,45796.5,1994,15556.52855,52.34803458
1,2,1995,1065.5,601.4584978,0,67212.8,1995,35077.67242,58.3210189
1,2,1996,380,691.43272,0,21217,1996,34201.77742,49.46508377
1,2,1997,984,1369.346947,0,69791,1997,81215.46599,59.30963381
1,2,1998,293,568.1095446,0,13265,1998,20329.0045,35.78359965
1,2,1999,430.5,1024.265628,0,15382,1999,29665.72794,28.96292438
1,2,2000,533,959.5995969,0,28243,2000,41679.6116,43.43437797
1,2,2001,2187.5,2979.20479,0,154172,2001,171466.4079,57.5544214
1,2,2002,99,219.6220245,0,3345,2002,5576.530604,25.39149075
1,2,2003,452.5,897.8887604,0,14398.1,2003,23635.59372,26.32352109
